T_3,R245ca,R227ea,R134a
71.8432,9.1254,nan,8.5251
71.8473,9.1261,8.1138,8.5254
72.1304,9.1733,8.1387,8.5435
72.5281,9.2395,8.1731,8.5668
72.5647,9.2456,8.176,8.5711
72.8146,9.2869,8.2041,8.5985
73.3105,9.367,8.2584,8.6496
73.3144,9.3677,8.2588,8.65
73.5314,9.4006,8.2829,8.68
73.9949,9.4635,8.3341,8.7427
74.0642,9.4723,8.3416,8.75
74.1293,9.4806,8.352,8.7571
74.1506,9.4833,8.3542,8.7594
74.7446,9.5632,8.417,8.8255
74.8139,9.5733,8.4245,8.8325
74.835,9.5764,8.4268,8.8346
74.8792,9.583,8.4245,8.8391
75.4618,9.6722,8.4949,8.8981
75.5637,9.6871,8.5073,8.9106
75.5844,9.6901,8.5099,8.9131
75.5963,9.6918,8.5113,8.9146
75.8896,9.7298,8.5487,8.9499
76.1385,9.7625,8.5685,8.9799
76.1463,9.7636,8.5691,8.9808
76.2809,9.7832,8.5798,8.9957
76.6721,9.8432,8.6213,9.0391
76.8879,9.8762,8.6442,9.0628
76.8961,9.8774,8.6451,9.0637
76.9655,9.8877,8.6523,9.0723
77.4218,9.9527,8.7041,9.1285
77.5397,9.9692,8.7138,9.1432
77.6457,9.9842,8.7223,9.1568
77.6827,9.9894,8.7248,9.1599
78.1262,10.0519,8.7753,9.2003
78.1391,10.0537,8.7766,9.2015
78.2043,10.0626,8.7821,9.2075
78.3304,10.0797,8.7907,9.219
78.8563,10.1525,8.8491,9.2753
78.8758,10.1553,8.8513,9.2774
78.9541,10.1667,8.8595,9.2856
79.1128,10.1904,8.8742,9.3018
79.5601,10.2587,8.9157,9.3594
79.7366,10.2846,8.9321,9.3823
79.8298,10.2979,8.9411,9.3949
80.1467,10.3414,8.9717,9.4217
80.4864,10.3863,9.0046,9.4518
80.5471,10.3942,9.0144,9.4572
80.5516,10.3948,9.0149,9.4576
80.8637,10.4345,9.0421,9.4881
81.2689,10.4845,9.0772,9.5266
81.297,10.4879,9.087,9.5297
81.3014,10.4885,9.0875,9.5302
81.6133,10.5276,9.119,9.563
81.9816,10.5783,9.1562,9.6022
82.0187,10.5836,9.1534,9.6053
82.1166,10.5974,9.1601,9.6135
82.1347,10.6,9.1616,9.6151
82.6989,10.6776,9.2153,9.6644
82.7686,10.6872,9.2223,9.6702
82.8339,10.6963,9.2223,9.6756
82.8843,10.7034,9.2273,9.6797
83.4489,10.7844,9.2872,9.7267
83.5185,10.7946,9.2948,nan
83.6012,10.8067,9.2948,nan
83.6164,10.809,9.2949,nan